id,text,location
1,"Just had a great workout at the gym! #fitnesslife",New York, NY
2,"Can't wait to go hiking this weekend!",Denver, CO
3,"Eating some delicious sushi for lunch #yum",Los Angeles, CA
4,"Watching the game with my buddies #sportsnight",Chicago, IL
5,"Excited to see my favorite band in concert tonight!",Seattle, WA
6,"Heading to the beach for some fun in the sun #vacation",Miami, FL
7,"Working on a new project at the office today #productivity",San Francisco, CA
8,"Finally finished my book - highly recommend! #readinglife",Boston, MA
9,"Going to the farmers market for some fresh produce #healthyliving",Portland, OR
10,"Spending the day with family at the zoo #familyfun",San Diego, CA
